Nomor Invoice,Date of Invoice,Bill to,Description,DPP,PPN,Total
PBI/MS/XCI/0222-032,22/02/2022,PT. Xiaomi Communications Indonesia,XXX,12841742,1284174,10000
PBI/MS/XCI/0222-033,22/02/2022,PT. Xiaomi Communications Indonesia,XXX,281818,28182,310000
INV-AFI/2022/2-009,31/01/2022,PT Inti Prima Mandiri Utama,XXX,XXX,XXX,169527
PBI/PRO/STI/0222-013,2/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,693866518,69386652,763253170
PBI/PRO/STI/0222-017,11/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,399665136,39966514,439631650
PBI/PRO/STI/0222-016,11/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,360046409,36004641,396051050
INV-AFI/2022/2-008,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,31405074
PBI/PRO/STI/0222-028,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,60318909,6031891,66350800
INV-AFI/2022/2-001,31/01/2022,PT SHOPEE INTERNATIONAL INDONESIA,XXX,XXX,XXX,486758590
PBI/MS/XCI/0222-036,23/02/2022,PT. Xiaomi Communications Indonesia,XXX,1322327,132233,1454560
PBI/PRO/STI/0222-029,16/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,98675818,9867582,108543400
PBI/MS/XTI/0222-012,2/02/2022,PT. Xiaomi Technology Indonesia,XXX,55884510,5588451,10000
INV-AFI/2022/2-012,31/01/2022,PT Neo Cipta Revolusi,XXX,XXX,XXX,673461
PBI/MS/XTI/0222-011,2/02/2022,PT. Xiaomi Technology Indonesia,XXX,25390909,22539091,10000
INV-AFI/2022/2-006,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,543454
INV-AFI/2022/2-011,31/01/2022,PT Global Tiket Network,XXX,XXX,XXX,110117058
INV-AFI/2022/2-015,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,213318
INV-AFI/2022/2-005,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,347435382
INV-AFI/2022/2-004,31/01/2022,PT Ionpay Networks,XXX,XXX,XXX,498958
INV-AFI/2022/2-002,31/01/2022,PT Bukalapak.com,XXX,XXX,XXX,726822972
INV-AFI/2022/2-013,31/01/2022,PT. Karunia Internasional Citra Kencana,XXX,XXX,XXX,975728
INV-AFI/2022/2-010,31/01/2022,PT Midtrans,XXX,XXX,XXX,40339077
PBI/MS/XTI/0222-034,22/02/2022,PT. Xiaomi Technology Indonesia,XXX,6181818,618182,10000
PBI/PRO/STI/0222-030,16/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,4838745,483875,5322620
PBI/PRO/STI/0222-024,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,74287074,7428707,81715781
PBI/PRO/STI/0222-018,11/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,423433709,42343371,465777080
PBI/PRO/STI/0222-025,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,143499755,14349975,157849730
INV-AFI/2022/2-007,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,173262
PBI/PRO/STI/0222-027,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,90842909,9084291,99927200
INV-AFI/2022/2-003,31/01/2022,PT Media Indonusa,XXX,XXX,XXX,32770525
PBI/PRO/STI/0222-026,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,182179636,18217964,200397600
PBI/PA/VMI/0222-014,7/02/2022,PT. Vivo Mobile Indonesia,XXX,253131545,253131545,25313155
PBI/MS/XCI/0222-015,8/02/2022,PT. Xiaomi Communications Indonesia,XXX,1522833,152283,1675116
PBI/PRO/STI/0222-022,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,119046506,11904651,130951157
INV-AFI/2022/2-014,31/01/2022,Please remit your payment to bellow account,XXX,XXX,XXX,471930
PBI/PRO/STI/0222-023,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,99417482,9941748,109359230
PBI/PRO/STI/0222-035,22/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,209764980,20976498,230741478
PBI/PRO/STI/0222-021,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,74490129,7449013,81939142
PBI/PRO/STI/0222-020,15/02/2022,PT. Sepulsa Teknologi Indonesia,XXX,28539901,2853990,31393891
